id,department,project_name,budget_verdict,budget_detail,corrected_v11,classification_verdict,classification_detail,reclassified_v11,name_match,name_detail,ai_relevance,source
1,감사원,전산운영경비(정보화),match,"총괄표 12,508/16,111/16,111/14,762/10,300/△5,811/△36.1 전 항목 일치",,partial,"사이버보안센터는 보안/사이버 타당하나 핵심(감사행정 정보시스템 구축·운영)인 '행정/전자정부'가 누락, '통신/네트워크'는 근거 약함",Y,True,,none,first_pass
2,개인정보보호위원회,개인정보 안전활용 선도기술 개발(R&D),match,"PDF -,-,-,6,138,6,138,6,138,순증 → 일치(증감률 '순증'은 null 처리)",,partial,'데이터'는 타당하나 개인정보보호 기술개발이 핵심이므로 '보안/사이버(프라이버시)' 누락,Y,True,,partial,first_pass
3,개인정보보호위원회,신뢰기반의 AI 개인정보 보호·활용 기술개발(R&D),match,"PDF p.38 총괄표(7열: 2024결산/2025본예산/추경(A)/2026요구안/본예산(B)/증감(B-A)/(B-A)/A) = -, 1,500, 1,500, 2,660, 2,660, 1,160, 77.3. JSON 7개 필드 전부 일치.",,partial,"ai_domains ['보안/사이버','교육/인재'] 중 '교육/인재'는 근거 없음. PDF에서 '전문인력의 양성'은 개인정보 보호법 제7조의8 제7호 소관사무 조문 인용에만 등장하며, 내역사업(AI 대응 개인정보보호 강화기술 개발 2,560, 기평비 100)에 인력양성 예산·과업이 전혀 없음. '보안/사이버'는 타당하고 '데이터'(가명·프라이버시) 추가 여지 있음.",Y,True,"PDF 사업명 '(9) 신뢰기반의 AI 개인정보 보호·활용 기술개발(R&D) (1033-305)' 및 코드 1033-305, 소관 개인정보보호위원회 모두 일치.",core,rechecked
6,경찰청,경찰정보화기반고도화(정보화),match,"62,509/77,006/77,006/78,334/78,334/1,328/1.7 전 항목 일치",,partial,'행정/전자정부'는 타당하나 사이버보안관제센터 운영 비중 고려 시 '보안/사이버' 누락,Y,True,,none,first_pass
7,경찰청,과학기술 기반 군중밀집 관리 기술 개발(R&D),mismatch,"PDF p.73 총괄표는 추경란이 없는 6열 구조(2024결산 / 2025 본예산(A) / 2026 요구 / 2026 조정(B) / 증감(B-A) / (B-A)/A) = 1,092 / 1,976 / 1,976 / 1,976 / - / -. JSON의 2025_supplementary=1976은 PDF에 존재하지 않는 값(추경란 자체 없음)으로 허위 생성. 나머지(2024=1092, 2025원=1976, 2026요구=1976, 2026예산=1976, 증감액 null, 증감률 null)는 PDF와 부합.",Y,wrong,"ai_domains ['국방/안보']는 근거 없음. 법령근거가 '국가경찰과 자치경찰의 조직 및 운영에 관한 법률 제33조', '재난 및 안전관리 기본법 제71조'이고 내용은 경찰 인파(군중밀집) 관리·혼잡위험도 예측·지자체(용산구청) 테스트베드이므로 '법률/치안' 및 '재난/안전'이 핵심 도메인. 국방 요소 전무.",Y,True,"PDF '과학기술기반군중밀집관리기술개발(R&D) (4431-720)', 소관 경찰청 미래치안정책국 — 일치.",partial,rechecked
9,경찰청,과학적 범죄수사 고도화 기술 개발(R&D),mismatch,"PDF p.85 총괄표는 추경란 없는 6열 = 7,476 / 4,529(본예산A) / 3,068(요구) / 3,068(조정B) / △1,461 / △32.3. JSON은 한 칸씩 밀림: 2025_supplementary=3068(PDF에 추경란 없음), 2026_budget=-1461(정답 3,068), change_amount=-32.3(정답 -1,461), change_rate=null(정답 -32.3). 2024=7,476, 2025원=4,529, 2026요구=3,068만 일치. 음수는 PDF에서 '△' 표기로 확인.",Y,appropriate,"'법률/치안' 타당. 다만 내역이 법곤충 감정기법(1,150), 인공지능 기반 위해기체 고속분석 플랫폼(1,800), 기평비(118)로 구성되어 '과학수사/바이오·화학 분석' 성격도 있음.",,True,PDF '과학적범죄수사고도화기술개발(R&D) (4431-631)' 코드·소관 일치.,partial,rechecked
10,경찰청,불법 마약류 대응을 위한 현장기술 개발(R&D),mismatch,"PDF p.94 총괄표는 추경란 없는 6열 = 500 / 1,500(본예산A) / 4,932(요구) / 4,932(조정B) / 3,432 / 222.8. JSON 한 칸 밀림: 2025_supplementary=4932(추경란 없음), 2026_budget=3432(정답 4,932), change_amount=222.8(정답 3,432), change_rate=null(정답 222.8).",Y,appropriate,"'법률/치안' 타당. 다크웹·가상자산 추적 내역(1,800)을 감안하면 '보안/사이버' 병기가 더 정확하나 주 도메인 라벨로서 문제 없음.",,True,PDF '불법마약류대응을위한현장기술개발(R&D) (4431-718)' 코드·소관 일치.,partial,rechecked
11,경찰청,사이버범죄수사단서통합분석및추론시스템개발(R&D),mismatch,"PDF p.104 총괄표는 추경란 없는 6열 = - / 3,640(본예산A) / 6,136(요구) / 6,136(조정B) / 2,496 / 68.6. JSON 한 칸 밀림: 2025_supplementary=6136(추경란 없음), 2026_budget=2496(정답 6,136), change_amount=68.6(정답 2,496), change_rate=null(정답 68.6).",Y,appropriate,"'보안/사이버'+'법률/치안' 조합이 사업 실체(사이버범죄 대응 기술 5,900 + 기평비 236)와 부합.",,True,PDF '사이버범죄수사단서통합분석및추론시스템개발(R&D) (4431-726)' 코드·소관 일치.,partial,rechecked
12,경찰청,사이버수사 지원기술 개발(R&D),mismatch,"PDF p.110 총괄표는 추경란 없는 6열 = 1,897 / 5,304(본예산A) / 8,736(요구) / 8,736(조정B) / 3,432 / 64.7. JSON 한 칸 밀림: 2025_supplementary=8736(추경란 없음), 2026_budget=3432(정답 8,736), change_amount=64.7(정답 3,432), change_rate=null(정답 64.7).",Y,partial,"'보안/사이버'는 타당하나 '법률/치안' 누락. 사업은 경찰 수사(디지털성범죄 위장수사용 가상인물 생성 2,800, 허위조작 콘텐츠(딥페이크·딥보이스) 진위판별 3,600, 로컬환경 인공지능 모델 포렌식)로 치안·수사 도메인이 명백. 동일 성격의 id=11에는 '법률/치안'이 부여되어 있어 라벨링 일관성도 결여.",Y,True,PDF '사이버수사지원기술개발(R&D) (4431-710)' 코드·소관 일치.,core,rechecked
13,경찰청,차세대지능형순찰플랫폼개발(R&D),mismatch,"PDF p.118 총괄표는 추경란 없는 6열 = - / 692(본예산A) / 3,465(요구) / 3,465(조정B) / 2,773 / 400.7. JSON 한 칸 밀림: 2025_supplementary=3465(추경란 없음), 2026_budget=2773(정답 3,465), change_amount=400.7(정답 2,773), change_rate=null(정답 400.7).",Y,appropriate,'법률/치안' 타당(순찰·치안현장 대응 지원). 'AI/자율주행·로보틱스' 성격도 있으나 주 도메인 라벨로 문제 없음.,,True,PDF '차세대지능형순찰플랫폼개발(R&D) (4431-724)' 코드·소관 일치.,core,rechecked
